Manufacturer,Calories,Protein,Fat,Fiber
G,110,2,2,1.5
G,130,3,2,2
G,110,6,2,2
G,120,1,3,0
G,110,3,2,2
G,110,1,1,0
G,110,1,1,0
G,100,2,1,2
G,110,1,1,0
G,110,3,1,1.5
G,110,2,1,0
G,110,2,1,0
G,100,2,1,2
G,130,3,2,1.5
G,100,3,2,2.5
G,110,2,1,0
G,140,3,1,4
G,100,3,1,3
G,110,2,1,0
G,110,1,1,0
G,100,3,1,3
G,110,2,1,1
K,70,4,1,9
K,50,4,0,14
K,110,2,0,1
K,100,2,0,1
K,110,1,0,1
K,110,3,3,4
K,110,2,0,1
K,110,2,1,1
K,110,1,0,1
K,100,3,0,3
K,120,3,0,5
K,110,2,1,1
K,140,3,1,2
K,160,3,2,3
K,120,2,1,0
K,140,3,2,3
K,90,3,0,3
K,100,3,0,1
K,120,3,1,5
K,90,2,0,2
K,110,2,0,0
K,110,2,1,1
K,110,6,0,1
N,70,4,1,10
N,80,2,0,3
N,90,3,0,4
N,90,3,0,3
N,90,2,0,3
P,90,3,0,5
P,120,3,2,5
P,110,1,1,0
P,100,2,0,0
P,100,3,1,3
P,110,3,0,3
P,120,3,3,3
P,110,1,0,0
P,120,3,1,6
Q,120,3,5,2
Q,120,1,2,0
Q,120,1,2,1
Q,100,4,2,2
Q,50,1,0,0
Q,50,2,0,1
Q,100,4,1,2
R,110,2,2,1
R,90,2,1,4
R,110,2,0,0
R,100,2,0,1
R,150,4,3,3
R,150,4,3,3
R,110,1,0,0
R,100,3,1,3
A,100,4,1,0
N,100,3,0,1
Q,100,5,2,2.7
